country,year,primary_energy_consumption,per_capita_energy,population,gdp,pm25_concentration,pm10_concentration,no2_concentration,num_cities_measured
Belgium,2010,764.788,6.992910697538242e-05,10936619.0,411261674695.0,16.721818181818183,26.098780487804877,25.02320754716981,59
Belgium,2013,701.919,6.28944066531682e-05,11160277.0,425993254852.0,14.81,23.496086956521737,23.980338983050846,63
Belgium,2014,650.851,5.805927201625889e-05,11210113.0,432717694183.0,12.1753125,20.555833333333336,21.754666666666665,65
Belgium,2015,657.427,5.830666449555543e-05,11275332.0,441551470878.0,12.627708333333333,20.524375,21.017868852459014,66
Belgium,2016,709.509,6.260719526234994e-05,11332707.0,447144517813.0,12.4475,19.793541666666666,21.65576271186441,65
Belgium,2017,716.042,6.293998821966139e-05,11376583.0,454386396677.0,12.10891304347826,19.56127659574468,21.63293103448276,64
Belgium,2018,714.205,6.249273752323993e-05,11428608.0,462533269863.0,12.55177777777778,20.869333333333334,20.02,60
Belgium,2019,738.369,6.42583957371154e-05,11490623.0,472897988852.0,10.925531914893616,18.669787234042552,18.74157894736842,62
Bhutan,2010,3.645,5.194986588525707e-06,701638.0,,,47.0,,1
Bhutan,2011,3.784,5.3341828931175785e-06,709387.0,,,63.25,,4
Bhutan,2012,4.131,5.759192960149898e-06,717288.0,,,94.0,,4
Bhutan,2013,4.415,6.087287427510954e-06,725282.0,,,93.25,,4
Bhutan,2014,4.4,6.001492189194314e-06,733151.0,,,109.75,,4
Bhutan,2015,4.605,6.217738309504296e-06,740623.0,,,158.5,,2
Bosnia And Herzegovina,2010,61.732,1.6196333182910575e-05,3811480.0,35774435069.0,64.77,49.61,25.79,2
Bosnia And Herzegovina,2016,63.018,1.814513516711935e-05,3472997.0,39438504839.0,43.20333333333334,42.86000000000001,18.385714285714283,10
Bosnia And Herzegovina,2017,65.853,1.9206494386767634e-05,3428684.0,40717914490.0,48.9875,40.00714285714286,23.255,12
Bosnia And Herzegovina,2018,62.607,1.8484505014616183e-05,3386999.0,42277004927.0,49.825,52.83166666666667,21.778750000000002,9
Bosnia And Herzegovina,2019,59.118,1.767073218848303e-05,3345532.0,43497123759.0,38.95666666666667,39.714285714285715,21.063333333333333,9
Brazil,2010,3188.735,1.646207130480284e-05,193701931.0,2820492538862.0,16.776666666666667,35.28666666666667,24.54642857142857,48
Brazil,2011,3316.323,1.6981987778092396e-05,195284736.0,2968455007203.0,15.646,36.951034482758615,24.561714285714285,58
Brazil,2012,3408.335,1.731207990681937e-05,196876113.0,3025484250011.0,15.307999999999998,35.69578125,25.07428571428571,65
Brazil,2013,3500.955,1.7638982077082586e-05,198478290.0,3116394665745.0,14.16,35.051803278688524,23.110243902439024,63
Brazil,2014,3575.635,1.7870568749823015e-05,200085126.0,3132099937531.0,15.958823529411765,34.316567164179105,22.005641025641026,69
Brazil,2015,3535.438,1.753032670784945e-05,201675534.0,3021043246476.0,13.257692307692308,31.770535714285717,21.569714285714287,59
Brazil,2016,3451.454,1.6983988454414703e-05,203218108.0,2922076150345.0,15.6,31.21969696969697,22.977083333333336,35
Brazil,2018,3486.378,1.6915357156381655e-05,206107265.0,3013541086239.0,15.223333333333333,26.726857142857146,17.48225806451613,39
Brazil,2019,3567.019,1.7194143828242185e-05,207455459.0,3050327159562.0,15.43,25.812368421052632,16.955625,43
Bulgaria,2010,211.471,2.8432716278947198e-05,7437594.0,109045208364.0,23.8475,44.917142857142856,21.511764705882353,28
Bulgaria,2013,198.108,2.7270305818416833e-05,7264605.0,109643527181.0,19.955714285714286,39.934074074074076,18.21294117647059,28
Bulgaria,2014,211.55,2.9286559746381577e-05,7223450.0,110703533681.0,21.735714285714288,41.48518518518518,18.599285714285713,28
Bulgaria,2015,224.68,3.1303313194051146e-05,7177515.0,114498611934.0,23.966,37.89333333333333,18.27625,28
Bulgaria,2016,213.117,2.9900934922460194e-05,7127436.0,117979077002.0,19.228,35.321999999999996,20.17,27
Bulgaria,2017,218.174,3.0834516500410844e-05,7075642.0,121237951710.0,19.565714285714286,33.94724137931035,18.365882352941178,29
Bulgaria,2018,218.814,3.114903103244317e-05,7024745.0,124492855771.0,19.584285714285716,32.97538461538461,18.149333333333335,27
Bulgaria,2019,211.551,3.032786626728594e-05,6975466.0,129520075495.0,16.538571428571426,29.003103448275862,18.33875,29
Cameroon,2012,32.035,1.5394389013110818e-06,20809530.0,56263171005.0,82.66666666666667,103.66666666666667,,3
Canada,2013,4004.351,0.00011345885115529038,35293421.0,1514296485427.0,6.885225225225225,13.552,,126
Canada,2015,4021.453,0.00011182433150152288,35962236.0,1568025782105.0,6.889133333333333,13.1776,11.560185185185185,154
Canada,2016,3973.037,0.00010928944777983978,36353345.0,1583727974022.0,5.857341772151899,12.0732,10.903893129770992,171
Canada,2017,4026.635,0.00010939416761857548,36808498.0,1631871440185.0,6.78319018404908,15.0915,11.219626865671643,174
Canada,2018,4082.489,0.00010946479254214158,37294996.0,1677189073139.0,7.503928571428572,15.261904761904763,11.512657342657342,180
Canada,2019,4059.989,0.00010745563062942651,37782934.0,1708858221312.0,5.92125,13.236842105263158,11.104326241134752,180
Chile,2010,363.948,2.1182596615899355e-05,17181463.0,321457401232.0,25.83818181818182,63.805,21.296363636363637,12
Chile,2011,385.712,2.2228920210629323e-05,17351810.0,338708860136.0,26.223636363636363,69.335,21.66,12
Chile,2012,402.747,2.2989002413135456e-05,17519116.0,359556383692.0,25.12090909090909,64.79727272727273,,11
Chile,2013,413.759,2.3393388343962796e-05,17687006.0,371454072393.0,30.403684210526315,62.01333333333333,1.01,24
Chile,2014,409.534,2.2924854367888566e-05,17864192.0,378114271615.0,26.340625,52.635,5.5200000000000005,39
Chile,2015,414.23,2.2952044118812278e-05,18047630.0,386251266445.0,25.609736842105264,54.38351351351351,7.003333333333333,43
Chile,2016,433.903,2.3753087839012222e-05,18267225.0,393022253885.0,25.910810810810812,50.641176470588235,10.122,42
Chile,2018,468.278,2.478555098041966e-05,18893185.0,414254051745.0,15.0,38.0,,1
Chile,2019,473.979,2.4689302099392072e-05,19197748.0,417331966568.0,19.02972972972973,39.823103448275866,16.46,40
China,2011,31336.537,2.3037325375070687e-05,1360250658.0,13691526496125.0,75.53666666666668,,,3
China,2012,32624.18,2.3821601269417974e-05,1369520866.0,14773157494771.0,56.602,,,5
China,2013,33852.566,2.4548490667248032e-05,1379008040.0,15925464549520.0,75.35,152.0,52.0,10
China,2014,34729.066,2.5021806770446096e-05,1387951970.0,17103948867278.0,52.3424882629108,126.0,42.56037735849056,213
China,2015,35135.988,2.5166627054786126e-05,1396134171.0,18301224436466.0,49.48566972477064,102.77777777777777,35.650485436893206,545
China,2016,35277.711,2.512563296879496e-05,1404052628.0,19545709173693.0,45.62125454545454,85.35583333333334,34.18408,550
China,2017,36649.383,2.594913460586492e-05,1412354730.0,20894362082435.0,44.61554054054054,,,370
China,2018,38409.82,2.7068060347137175e-05,1419008954.0,22294284747546.0,40.40886066204773,34.09,,1299
China,2019,40188.723,2.8231927139205637e-05,1423520357.0,23631941251482.0,38.508755144032925,34.483333333333334,,972
Colombia,2010,424.601,9.482500350344734e-06,44777325.0,489870174161.0,32.33,50.833333333333336,32.443333333333335,6
Colombia,2011,443.797,9.805585173572183e-06,45259614.0,521323240921.0,22.5,40.71111111111111,26.55,9
Colombia,2012,471.933,1.0323190838564875e-05,45715807.0,541722649583.0,24.833333333333332,44.94,23.0,10
Colombia,2013,485.04,1.0509715343891888e-05,46151583.0,569534665242.0,22.35,41.238,24.3,10
