cluster,cluster_label,num_countries,primary_energy_consumption_mean,primary_energy_consumption_std,per_capita_energy_mean,per_capita_energy_std,pm25_concentration_mean,pm25_concentration_std,pm10_concentration_mean,pm10_concentration_std,no2_concentration_mean,no2_concentration_std,population_mean,population_std,gdp_mean,gdp_std
0,"Medium Energy, High Pollution",6,497.4272809523809,381.6197722170725,104.26768583396854,75.568801075313,52.13451091269841,14.652743681967712,154.67742564500153,23.523120817302804,43.02813615119448,8.887392597525553,9923635.478042329,14852860.209075173,302504187829.8286,247908951857.9956
1,"Medium Energy, Moderate Pollution",48,379.4634494663901,416.94696857885305,41.06288285664739,38.430496260405064,17.492911059127202,8.809237686721701,32.67388469310368,21.167729182593202,19.424427231035935,7.988174316401616,13970852.390923372,16360632.305015318,289041268566.6817,290404202653.4894
2,"High Energy, Low Pollution",9,2642.058295458554,929.5967366228941,39.611385748143164,28.438621968477936,14.534871701278398,5.840946853685666,27.676637908746496,14.759930428087232,21.94687049034068,6.05908628009097,84188530.04395944,49602103.03715557,2269176407498.5234,708680141169.519
3,"Medium Energy, High Pollution",2,608.1043666666667,360.70360722417996,3.082782922177088,1.2259782103528845,68.18856249999999,16.31602739228631,207.0112409611993,91.55678806647971,29.171333333333333,6.936246118919241,188208102.9166667,41847056.48984606,782157393548.2167,333692118616.33563
-1,Outlier (Mega-scale),2,21553.995444444445,19518.977944896058,15.596152220801413,13.765834798239311,46.723188732245134,9.107933985892744,91.9493761275051,4.004419316527553,31.443905912724336,13.653991225936904,1356143397.5,54449075.79250748,12887329328342.723,7884343556214.171
