target,r2_train,r2_cv_mean,r2_cv_std,rmse_train,rmse_cv_mean,rmse_cv_std,mae_train,overfitting_gap,model_type
pm25_concentration,0.8997681407692534,0.6708096300370496,2.034361960151801,4.770177494766457,8.46999364635781,2.034361960151801,2.2540394527181795,0.22895851073220375,random_forest_cv
pm10_concentration,0.9215501965436327,0.6929551279672197,2.9287647930505356,10.34204032238042,20.14186801530192,2.9287647930505356,4.5850373163756935,0.22859506857641299,random_forest_cv
no2_concentration,0.8820499005958692,0.5647712612949016,0.9775460029561754,3.031463221790053,5.7739254226667285,0.9775460029561754,1.818138059695087,0.31727863930096756,random_forest_cv
